"sweep","cloud","dim","n_total","caliper","seeds","rounds_min","rounds_med","rounds_max","graph_pct_med","graph_pct_max","distances_x_med","distances_x_max","implicit_s_med","implicit_s_q25","implicit_s_q75","lazy_s_med","speedup_med","heap_mb_med","worst_gap","all_certified","equal_to_dense"
"caliper","gaussian",8,10000,"boundary",5,2,2,2,1.1512,1.1684,0.308,0.792,0.91,0.901,1.002,1.66,1.79,77.3,0,TRUE,TRUE
"caliper","gaussian",8,10000,"mid",5,2,2,2,1.1629,1.1669,0.514,0.658,0.989,0.88,1.023,1.8,1.82,77.3,0,TRUE,TRUE
"caliper","gaussian",8,10000,"none",5,2,2,2,1.1699,1.1699,1.789,1.797,0.863,0.863,0.865,1.768,2.05,77.2,0,TRUE,TRUE
"cloud","clustered",8,10000,"none",5,2,2,2,1.1699,1.1699,0.484,0.563,0.324,0.314,0.333,0.654,2.02,77.2,0,TRUE,TRUE
"cloud","contested",8,10000,"none",5,9,10,10,73.318,73.3546,6.675,6.727,133.73,133.539,134.103,426.321,3.17,77.2,0,TRUE,TRUE
"cloud","gaussian",8,10000,"none",5,2,2,2,1.1699,1.1699,1.789,1.797,0.864,0.864,0.867,1.765,2.05,77.1,0,TRUE,TRUE
"cloud","heavy_tailed",8,10000,"none",5,2,2,2,1.1699,1.1699,1.985,1.988,0.894,0.894,0.895,0.967,1.09,77.2,0,TRUE,TRUE
"cloud","lattice_ties",8,10000,"none",5,2,2,2,1.1699,1.1699,1.785,1.794,1.095,1.094,1.095,1.963,1.79,77.2,0,TRUE,TRUE
"cloud","shell",8,10000,"none",5,4,5,7,1.1827,2.8252,4.965,6.94,2.627,2.505,3.268,14.772,5.57,77.2,0,TRUE,TRUE
"cloud","shifted",8,10000,"none",5,7,7,7,3.086,3.1079,5.918,6.008,4.808,4.808,4.881,54.274,11.13,77.2,0,TRUE,TRUE
"dimension","gaussian",2,10000,"none",5,2,3,4,1.1699,1.1701,0.243,0.281,0.167,0.143,0.175,0.599,3.76,74.7,0,TRUE,TRUE
"dimension","gaussian",4,10000,"none",5,2,2,2,1.1699,1.1699,0.691,0.698,0.336,0.332,0.339,1.448,4.36,75.5,0,TRUE,TRUE
"dimension","gaussian",8,10000,"none",5,2,2,2,1.1699,1.1699,1.789,1.797,0.864,0.864,0.865,1.768,2.05,77.1,0,TRUE,TRUE
"dimension","gaussian",16,10000,"none",5,2,2,2,1.1699,1.1699,2,2,2.514,2.511,2.514,4.958,1.97,80.2,0,TRUE,TRUE
"dimension","gaussian",32,10000,"none",5,2,2,2,1.1699,1.1699,2,2,9.572,9.571,9.574,21.258,2.22,86.5,0,TRUE,TRUE
"size","gaussian",8,2000,"none",3,2,2,2,4.9512,4.9512,1.987,1.989,0.05,0.05,0.051,0.065,1.27,73.4,0,TRUE,TRUE
"size","gaussian",8,5000,"none",3,2,2,2,2.1602,2.1602,1.922,1.93,0.25,0.25,0.25,0.369,1.48,74.9,0,TRUE,TRUE
"size","gaussian",8,10000,"none",3,2,2,2,1.1699,1.1699,1.788,1.797,0.86,0.859,0.863,1.76,2.05,77.3,0,TRUE,TRUE
"size","gaussian",8,20000,"none",3,2,2,2,0.63,0.63,1.608,1.623,2.97,2.966,2.982,7.668,2.56,81.9,0,TRUE,NA
"size","gaussian",8,50000,"none",3,2,3,3,0.288,0.288,1.94,1.948,21.713,18.434,21.759,64.348,3.02,96.9,3.63797880709171e-12,TRUE,NA
