"arm","n_total","elapsed_s","heap_peak_mb","n_pairs","status","peak_rss_mb","wall_s","matrix_mb","estimate_mb","baseline_arm","baseline_mb","over_baseline_mb"
"MatchIt",2000,2.374,311.3,667,"ok",533.6,3.17,7.1,28.5,"baseline_alt",152.7,380.9
"baseline",2000,0.007,80.2,0,"ok",145.6,0.75,7.1,28.5,NA,NA,NA
"baseline_alt",2000,0.008,86.8,0,"ok",152.7,0.81,7.1,28.5,NA,NA,NA
"dense",2000,0.168,153.1,667,"ok",265.5,0.91,7.1,28.5,"baseline",145.6,119.9
"dense_matrix",2000,0.07,136.9,0,"ok",202.6,0.81,7.1,28.5,"baseline",145.6,57
"implicit",2000,0.073,102.1,667,"ok",157.1,0.8,7.1,28.5,"baseline",145.6,11.5
"lazy",2000,0.067,101.9,667,"ok",151.4,0.79,7.1,28.5,"baseline",145.6,5.8
"optmatch",2000,1.876,318,667,"ok",480.8,2.66,7.1,28.5,"baseline_alt",152.7,328.1
"MatchIt",5000,16.703,1474.4,1667,"ok",2437.2,17.51,44.4,177.8,"baseline_alt",152.8,2284.4
"baseline",5000,0.007,80.2,0,"ok",145.9,0.73,44.4,177.8,NA,NA,NA
"baseline_alt",5000,0.008,86.8,0,"ok",152.8,0.79,44.4,177.8,NA,NA,NA
"dense",5000,0.845,366,1667,"ok",610.2,1.57,44.4,177.8,"baseline",145.9,464.3
"dense_matrix",5000,0.342,161.2,0,"ok",226.1,1.07,44.4,177.8,"baseline",145.9,80.2
"implicit",5000,0.327,104.5,1667,"ok",175,1.07,44.4,177.8,"baseline",145.9,29.1
"lazy",5000,0.365,104.2,1667,"ok",153.8,1.11,44.4,177.8,"baseline",145.9,7.9
"optmatch",5000,13.356,1319.5,1667,"ok",2065.4,14.16,44.4,177.8,"baseline_alt",152.8,1912.6
"MatchIt",10000,74.297,6382.1,3333,"ok",8866.5,75.28,177.8,711.1,"baseline_alt",153.1,8713.4
"baseline",10000,0.008,80.2,0,"ok",146.2,0.74,177.8,711.1,NA,NA,NA
"baseline_alt",10000,0.007,86.8,0,"ok",153.1,0.8,177.8,711.1,NA,NA,NA
"dense",10000,3.131,811.6,3333,"ok",1429,3.86,177.8,711.1,"baseline",146.2,1282.8
"dense_matrix",10000,1.214,373.8,0,"ok",444.4,1.95,177.8,711.1,"baseline",146.2,298.2
"implicit",10000,1.161,108.4,3333,"ok",206.7,1.89,177.8,711.1,"baseline",146.2,60.5
"lazy",10000,1.602,108.1,3333,"ok",161.3,2.33,177.8,711.1,"baseline",146.2,15.1
"optmatch",10000,60.687,4545,3333,"ok",7343.7,61.5,177.8,711.1,"baseline_alt",153.1,7190.6
"MatchIt",20000,113.302,7120.6,NA,"error: (from optmatch) result would exceed 2^31-1 bytes",8793.6,115.73,711.1,2844.5,"baseline_alt",152.8,8640.8
"baseline",20000,0.008,80.2,0,"ok",146.3,0.81,711.1,2844.5,NA,NA,NA
"baseline_alt",20000,0.008,86.8,0,"ok",152.8,0.8,711.1,2844.5,NA,NA,NA
"dense",20000,10.671,3656.6,6667,"ok",6402,11.42,711.1,2844.5,"baseline",146.3,6255.7
"dense_matrix",20000,4.253,1145.4,0,"ok",1238.9,4.99,711.1,2844.5,"baseline",146.3,1092.6
"implicit",20000,4.118,116.3,6667,"ok",274.3,4.85,711.1,2844.5,"baseline",146.3,128
"lazy",20000,6.404,115.9,6667,"ok",168,7.15,711.1,2844.5,"baseline",146.3,21.7
"optmatch",20000,279.373,19331.3,6667,"ok",27581.6,280.24,711.1,2844.5,"baseline_alt",152.8,27428.8
