"tier","regime","pattern","n_rows","n_cols","cost_type","distribution","metric","components","finite_share","auto_method","auto_rule","auto_condition"
"base","int_uniform","none",500,500,"integer","uniform",FALSE,1,1,"jv","default","no earlier rule applies"
"base","int_uniform","random_60",500,500,"integer","uniform",FALSE,1,0.5999,"jv","default","no earlier rule applies"
"base","int_uniform","random_25",500,500,"integer","uniform",FALSE,1,0.2508,"lapmod","sparse","more than half the entries non-finite"
"base","int_uniform","block_4",500,500,"integer","uniform",FALSE,4,0.25,"lapmod","sparse","more than half the entries non-finite"
"base","dbl_uniform","none",500,500,"double","uniform",FALSE,1,1,"jv","default","no earlier rule applies"
"base","dbl_uniform","random_60",500,500,"double","uniform",FALSE,1,0.599,"jv","default","no earlier rule applies"
"base","dbl_uniform","random_25",500,500,"double","uniform",FALSE,1,0.2509,"lapmod","sparse","more than half the entries non-finite"
"base","dbl_uniform","block_4",500,500,"double","uniform",FALSE,4,0.25,"lapmod","sparse","more than half the entries non-finite"
"base","binary","none",500,500,"binary","binary",FALSE,1,1,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","binary","random_60",500,500,"binary","binary",FALSE,1,0.6009,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","binary","random_25",500,500,"binary","binary",FALSE,1,0.2512,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","binary","block_4",500,500,"binary","binary",FALSE,4,0.25,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","constant","none",500,500,"constant","degenerate",FALSE,1,1,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","constant","random_60",500,500,"constant","degenerate",FALSE,1,0.602,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","constant","random_25",500,500,"constant","degenerate",FALSE,1,0.2522,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","constant","block_4",500,500,"constant","degenerate",FALSE,4,0.25,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","tied","none",500,500,"integer","tied",FALSE,1,1,"jv","default","no earlier rule applies"
"base","tied","random_60",500,500,"integer","tied",FALSE,1,0.6,"jv","default","no earlier rule applies"
"base","tied","random_25",500,500,"integer","tied",FALSE,1,0.2517,"lapmod","sparse","more than half the entries non-finite"
"base","tied","block_4",500,500,"integer","tied",FALSE,4,0.25,"lapmod","sparse","more than half the entries non-finite"
"base","heavy_tailed","none",500,500,"double","heavy-tailed",FALSE,1,1,"jv","default","no earlier rule applies"
"base","heavy_tailed","random_60",500,500,"double","heavy-tailed",FALSE,1,0.6025,"jv","default","no earlier rule applies"
"base","heavy_tailed","random_25",500,500,"double","heavy-tailed",FALSE,1,0.2506,"lapmod","sparse","more than half the entries non-finite"
"base","heavy_tailed","block_4",500,500,"double","heavy-tailed",FALSE,4,0.25,"lapmod","sparse","more than half the entries non-finite"
"base","metric_uniform","none",500,500,"double","uniform",TRUE,1,1,"jv","default","no earlier rule applies"
"base","metric_uniform","random_60",500,500,"double","uniform",TRUE,1,0.6,"jv","default","no earlier rule applies"
"base","metric_uniform","random_25",500,500,"double","uniform",TRUE,1,0.2512,"lapmod","sparse","more than half the entries non-finite"
"base","metric_uniform","block_4",500,500,"double","uniform",TRUE,4,0.25,"lapmod","sparse","more than half the entries non-finite"
