"tier","regime","pattern","n_rows","n_cols","method","auto_method","auto_rule","instances","median_s","q25_s","q75_s"
"base","binary","block_4",500,1500,"auction","hk01","no_cost_scale",3,0.03098932,0.030948605,0.031075665
"base","binary","block_4",500,500,"auction","hk01","no_cost_scale",3,0.00233823,0.0023381275,0.002341469
"base","binary","block_4",500,5000,"auction","hk01","no_cost_scale",3,0.3632431,0.36294855,0.3632839
"base","binary","none",500,1500,"auction","hk01","no_cost_scale",3,0.04356242,0.04255066,0.04826608
"base","binary","none",500,500,"auction","hk01","no_cost_scale",3,0.005958776,0.005841721,0.0059620355
"base","binary","none",500,5000,"auction","hk01","no_cost_scale",3,0.4537898,0.45367545,0.4695162
"base","binary","random_01",500,1500,"auction","hk01","no_cost_scale",3,0.04152804,0.04066989,0.04175518
"base","binary","random_01",500,500,"auction","hk01","no_cost_scale",3,0.001426882,0.0014180465,0.00143951
"base","binary","random_01",500,5000,"auction","hk01","no_cost_scale",3,0.3836547,0.3827086,0.3845963
"base","binary","random_05",500,1500,"auction","hk01","no_cost_scale",3,0.02987379,0.029814665,0.030013765
"base","binary","random_05",500,500,"auction","hk01","no_cost_scale",3,0.001719253,0.001694694,0.001738154
"base","binary","random_05",500,5000,"auction","hk01","no_cost_scale",3,0.3915687,0.38996705,0.39169295
"base","binary","random_25",500,1500,"auction","hk01","no_cost_scale",3,0.03624158,0.03619802,0.036371675
"base","binary","random_25",500,500,"auction","hk01","no_cost_scale",3,0.003720873,0.003708942,0.003727269
"base","binary","random_25",500,5000,"auction","hk01","no_cost_scale",3,0.4127447,0.4120233,0.4139571
"base","binary","random_60",500,1500,"auction","hk01","no_cost_scale",3,0.04581693,0.04483305,0.04869351
"base","binary","random_60",500,500,"auction","hk01","no_cost_scale",3,0.006045819,0.0060225105,0.006052871
"base","binary","random_60",500,5000,"auction","hk01","no_cost_scale",3,0.4410378,0.4359391,0.4530079
"base","constant","block_4",500,1500,"auction","hk01","no_cost_scale",3,0.03017838,0.030177025,0.03024894
"base","constant","block_4",500,500,"auction","hk01","no_cost_scale",3,0.001920153,0.001918923,0.001926303
"base","constant","block_4",500,5000,"auction","hk01","no_cost_scale",3,0.3840361,0.38328865,0.3854402
"base","constant","none",500,1500,"auction","hk01","no_cost_scale",3,0.03635404,0.03633049,0.036496805
"base","constant","none",500,500,"auction","hk01","no_cost_scale",3,0.004475396,0.004470886,0.004483924
"base","constant","none",500,5000,"auction","hk01","no_cost_scale",3,0.3947485,0.39467795,0.39518605
"base","constant","random_01",500,1500,"auction","hk01","no_cost_scale",3,0.02838385,0.028365175,0.028534235
"base","constant","random_01",500,500,"auction","hk01","no_cost_scale",3,0.001433688,0.00142147,0.0014339135
"base","constant","random_01",500,5000,"auction","hk01","no_cost_scale",3,0.3814443,0.3807647,0.3820786
"base","constant","random_05",500,1500,"auction","hk01","no_cost_scale",3,0.02941045,0.02934938,0.02955237
