"tier","regime","pattern","n_rows","n_cols","instance","seed","method","rep","seconds","status","total_cost","n_matched","objective","duality_gap","max_suboptimality","certified_optimal","primal_feasible","all_rows_matched","structurally_valid","auto_method","auto_rule","cost_type","distribution","metric","components","finite_share"
"base","int_uniform","none",500,500,1,75350316,"auto",1,0.02333486,"ok",16749,500,16749,0,1.51270107558076e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,1,75350316,"auto",2,0.004781174,"ok",16749,500,16749,0,1.51270107558076e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,1,75350316,"auto",3,0.004403769,"ok",16749,500,16749,0,1.51270107558076e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,1,75350316,"auto",4,0.004734598,"ok",16749,500,16749,0,1.51270107558076e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,1,75350316,"auto",5,0.004376217,"ok",16749,500,16749,0,1.51270107558076e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,1,75350316,"jv",1,0.03231751,"ok",16749,500,16749,0,1.51270107558076e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,1,75350316,"jv",2,0.004462645,"ok",16749,500,16749,0,1.51270107558076e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,1,75350316,"jv",3,0.004364122,"ok",16749,500,16749,0,1.51270107558076e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,1,75350316,"jv",4,0.004698026,"ok",16749,500,16749,0,1.51270107558076e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,1,75350316,"jv",5,0.004416643,"ok",16749,500,16749,0,1.51270107558076e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,1,75350316,"sap",1,0.02222876,"ok",16749,500,16749,0,1.51270107558076e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,1,75350316,"sap",2,0.02123251,"ok",16749,500,16749,0,1.51270107558076e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,1,75350316,"sap",3,0.02137256,"ok",16749,500,16749,0,1.51270107558076e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,1,75350316,"sap",4,0.02259858,"ok",16749,500,16749,0,1.51270107558076e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,1,75350316,"sap",5,0.0208567,"ok",16749,500,16749,0,1.51270107558076e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,1,75350316,"sap_dense",1,0.01249754,"ok",16749,500,16749,0,1.51270107558076e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,1,75350316,"sap_dense",2,0.01436993,"ok",16749,500,16749,0,1.51270107558076e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,1,75350316,"sap_dense",3,0.01199406,"ok",16749,500,16749,0,1.51270107558076e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,1,75350316,"sap_dense",4,0.01164462,"ok",16749,500,16749,0,1.51270107558076e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,1,75350316,"sap_dense",5,0.01217651,"ok",16749,500,16749,0,1.51270107558076e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,1,75350316,"lapmod",1,0.01313911,"ok",16749,500,16749,0,1.51270107558076e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,1,75350316,"lapmod",2,0.01285867,"ok",16749,500,16749,0,1.51270107558076e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,1,75350316,"lapmod",3,0.0131708,"ok",16749,500,16749,0,1.51270107558076e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,1,75350316,"lapmod",4,0.01285268,"ok",16749,500,16749,0,1.51270107558076e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,1,75350316,"lapmod",5,0.01318138,"ok",16749,500,16749,0,1.51270107558076e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,1,75350316,"ramshaw_tarjan",1,0.0154834,"ok",16749,500,16749,0,1.51270107558076e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,1,75350316,"ramshaw_tarjan",2,0.01636027,"ok",16749,500,16749,0,1.51270107558076e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,1,75350316,"ramshaw_tarjan",3,0.01530911,"ok",16749,500,16749,0,1.51270107558076e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,1,75350316,"ramshaw_tarjan",4,0.01497012,"ok",16749,500,16749,0,1.51270107558076e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,1,75350316,"ramshaw_tarjan",5,0.0153486,"ok",16749,500,16749,0,1.51270107558076e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,1,75350316,"hungarian",1,0.009111963,"ok",16749,500,16749,0,1.51270107558076e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,1,75350316,"hungarian",2,0.008754484,"ok",16749,500,16749,0,1.51270107558076e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,1,75350316,"hungarian",3,0.0090897,"ok",16749,500,16749,0,1.51270107558076e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,1,75350316,"hungarian",4,0.008776829,"ok",16749,500,16749,0,1.51270107558076e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,1,75350316,"hungarian",5,0.009085559,"ok",16749,500,16749,0,1.51270107558076e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,1,75350316,"auction",1,0.009858245,"ok",16749,500,16749,0,1.51270107558076e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,1,75350316,"auction",2,0.009572844,"ok",16749,500,16749,0,1.51270107558076e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,1,75350316,"auction",3,0.009791005,"ok",16749,500,16749,0,1.51270107558076e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,1,75350316,"auction",4,0.009393633,"ok",16749,500,16749,0,1.51270107558076e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,1,75350316,"auction",5,0.009748406,"ok",16749,500,16749,0,1.51270107558076e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,1,75350316,"auction_gs",1,0.01016812,"ok",16749,500,16749,0,1.51270107558076e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,1,75350316,"auction_gs",2,0.009809045,"ok",16749,500,16749,0,1.51270107558076e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,1,75350316,"auction_gs",3,0.01010273,"ok",16749,500,16749,0,1.51270107558076e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,1,75350316,"auction_gs",4,0.009607325,"ok",16749,500,16749,0,1.51270107558076e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,1,75350316,"auction_gs",5,0.01003184,"ok",16749,500,16749,0,1.51270107558076e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,1,75350316,"auction_scaled",1,0.009706463,"ok",16749,500,16749,0,1.51270107558076e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,1,75350316,"auction_scaled",2,0.009404252,"ok",16749,500,16749,0,1.51270107558076e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,1,75350316,"auction_scaled",3,0.009449393,"ok",16749,500,16749,0,1.51270107558076e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,1,75350316,"auction_scaled",4,0.009249272,"ok",16749,500,16749,0,1.51270107558076e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,1,75350316,"auction_scaled",5,0.009612286,"ok",16749,500,16749,0,1.51270107558076e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,1,75350316,"csa",1,0.007900126,"ok",16749,500,16749,0,1.51270107558076e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,1,75350316,"csa",2,0.007558391,"ok",16749,500,16749,0,1.51270107558076e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,1,75350316,"csa",3,0.007648796,"ok",16749,500,16749,0,1.51270107558076e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,1,75350316,"csa",4,0.007504681,"ok",16749,500,16749,0,1.51270107558076e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,1,75350316,"csa",5,0.007816855,"ok",16749,500,16749,0,1.51270107558076e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,1,75350316,"csflow",1,0.02160089,"ok",16749,500,16749,0,1.51270107558076e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,1,75350316,"csflow",2,0.02079303,"ok",16749,500,16749,0,1.51270107558076e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,1,75350316,"csflow",3,0.02204992,"ok",16749,500,16749,0,1.51270107558076e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,1,75350316,"csflow",4,0.02079262,"ok",16749,500,16749,0,1.51270107558076e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,1,75350316,"csflow",5,0.02112787,"ok",16749,500,16749,0,1.51270107558076e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,1,75350316,"network_simplex",1,0.08541887,"ok",16749,500,16749,0,1.51270107558076e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,1,75350316,"network_simplex",2,0.08701684,"ok",16749,500,16749,0,1.51270107558076e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,1,75350316,"network_simplex",3,0.08389572,"ok",16749,500,16749,0,1.51270107558076e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,1,75350316,"network_simplex",4,0.08414725,"ok",16749,500,16749,0,1.51270107558076e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,1,75350316,"network_simplex",5,0.08430035,"ok",16749,500,16749,0,1.51270107558076e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,2,75350317,"auto",1,0.006594522,"ok",16710,500,16710,0,1.72155623098487e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,2,75350317,"auto",2,0.004825372,"ok",16710,500,16710,0,1.72155623098487e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,2,75350317,"auto",3,0.00487162,"ok",16710,500,16710,0,1.72155623098487e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,2,75350317,"auto",4,0.004500283,"ok",16710,500,16710,0,1.72155623098487e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,2,75350317,"auto",5,0.004885068,"ok",16710,500,16710,0,1.72155623098487e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,2,75350317,"jv",1,0.005069322,"ok",16710,500,16710,0,1.72155623098487e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,2,75350317,"jv",2,0.004556207,"ok",16710,500,16710,0,1.72155623098487e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,2,75350317,"jv",3,0.00480315,"ok",16710,500,16710,0,1.72155623098487e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,2,75350317,"jv",4,0.004465146,"ok",16710,500,16710,0,1.72155623098487e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,2,75350317,"jv",5,0.00484702,"ok",16710,500,16710,0,1.72155623098487e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,2,75350317,"sap",1,0.02501746,"ok",16710,500,16710,0,1.72155623098487e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,2,75350317,"sap",2,0.02183029,"ok",16710,500,16710,0,1.72155623098487e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,2,75350317,"sap",3,0.02075252,"ok",16710,500,16710,0,1.72155623098487e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,2,75350317,"sap",4,0.02027979,"ok",16710,500,16710,0,1.72155623098487e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,2,75350317,"sap",5,0.02068233,"ok",16710,500,16710,0,1.72155623098487e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
