"tier","regime","pattern","shape","auto_rule","auto_picks","auto_s","picked_s","best_method","best_s","ratio","picked_ratio"
"base","tied","none","500 x 1500","very_rectangular","sap",0.2729,0.2729,"network_simplex",0.0204,13.38,13.38
"base","tied","random_25","500 x 500","sparse","lapmod",0.073,0.073,"auction_scaled",0.0059,12.44,12.44
"base","tied","none","500 x 500","default","jv",0.0571,0.0561,"network_simplex",0.0056,10.28,10.09
"base","metric_uniform","none","500 x 5000","very_rectangular","sap",0.1102,0.1001,"jv",0.011,10.02,9.1
"base","metric_clustered","none","500 x 5000","very_rectangular","sap",0.107,0.0989,"jv",0.0111,9.68,8.95
"base","heavy_tailed","none","500 x 5000","very_rectangular","sap",0.1004,0.1084,"hungarian",0.0112,9,9.71
"base","dbl_uniform","none","500 x 5000","very_rectangular","sap",0.1021,0.1004,"jv",0.0114,8.94,8.8
"base","int_uniform","none","500 x 5000","very_rectangular","sap",0.1012,0.0996,"hungarian",0.0119,8.5,8.37
"base","tied","random_60","500 x 500","default","jv",0.0625,0.0631,"network_simplex",0.0075,8.28,8.37
"base","tied","none","500 x 5000","very_rectangular","sap",0.8636,0.9214,"network_simplex",0.1185,7.29,7.77
"base","metric_uniform","none","500 x 1500","very_rectangular","sap",0.0268,0.0267,"jv",0.0037,7.24,7.22
"base","heavy_tailed","none","500 x 1500","very_rectangular","sap",0.0267,0.0265,"jv",0.0037,7.13,7.08
"base","dbl_uniform","none","500 x 1500","very_rectangular","sap",0.0268,0.0271,"hungarian",0.0039,6.82,6.9
"base","int_uniform","none","500 x 1500","very_rectangular","sap",0.0272,0.0272,"hungarian",0.0041,6.57,6.57
"base","metric_clustered","none","500 x 1500","very_rectangular","sap",0.0254,0.0255,"jv",0.0039,6.5,6.52
"base","tied","random_25","500 x 1500","sparse","lapmod",0.2218,0.2218,"network_simplex",0.0353,6.29,6.29
"large","dbl_uniform","none","1000 x 10000","very_rectangular","sap",0.4749,0.4733,"jv",0.0771,6.16,6.14
"large","int_uniform","none","1000 x 10000","very_rectangular","sap",0.4737,0.4759,"jv",0.0786,6.02,6.05
"large","metric_clustered","none","1000 x 10000","very_rectangular","sap",0.4636,0.4681,"jv",0.077,6.02,6.08
"large","heavy_tailed","none","1000 x 10000","very_rectangular","sap",0.4653,0.4656,"jv",0.0775,6,6.01
"base","tied","random_60","500 x 1500","very_rectangular","sap",0.1951,0.1951,"network_simplex",0.0355,5.49,5.49
"large","dbl_uniform","none","1500 x 4500","very_rectangular","sap",0.3201,0.3201,"jv",0.059,5.43,5.43
"large","metric_clustered","none","1500 x 4500","very_rectangular","sap",0.3161,0.3169,"jv",0.0592,5.34,5.35
"large","int_uniform","none","1500 x 4500","very_rectangular","sap",0.3193,0.3208,"jv",0.0606,5.27,5.29
"large","heavy_tailed","none","1500 x 4500","very_rectangular","sap",0.319,0.3238,"jv",0.0628,5.08,5.16
"base","tied","block_4","500 x 500","sparse","lapmod",0.0187,0.0187,"auction_scaled",0.0041,4.61,4.63
"base","metric_clustered","random_25","500 x 500","sparse","lapmod",0.0161,0.0162,"auction_scaled",0.0045,3.56,3.57
"base","tied","random_25","500 x 5000","sparse","lapmod",0.7445,0.7446,"network_simplex",0.218,3.42,3.42
"base","tied","random_60","500 x 5000","very_rectangular","sap",0.6087,0.6093,"network_simplex",0.1815,3.35,3.36
"base","metric_uniform","random_25","500 x 500","sparse","lapmod",0.0125,0.0125,"auction_scaled",0.004,3.11,3.1
"base","metric_uniform","random_60","500 x 5000","very_rectangular","sap",0.0769,0.0884,"hungarian",0.0249,3.09,3.55
"base","heavy_tailed","random_60","500 x 5000","very_rectangular","sap",0.0838,0.0775,"jv",0.0272,3.08,2.85
"base","int_uniform","random_60","500 x 5000","very_rectangular","sap",0.0759,0.075,"hungarian",0.0247,3.08,3.04
"base","dbl_uniform","random_60","500 x 5000","very_rectangular","sap",0.0752,0.0752,"jv",0.0246,3.06,3.06
"base","metric_clustered","random_60","500 x 5000","very_rectangular","sap",0.0757,0.0789,"jv",0.0251,3.01,3.14
"base","metric_uniform","random_60","500 x 1500","very_rectangular","sap",0.0234,0.0232,"jv",0.0079,2.97,2.94
"base","int_uniform","random_60","500 x 1500","very_rectangular","sap",0.0235,0.0236,"hungarian",0.008,2.95,2.97
"base","dbl_uniform","random_60","500 x 1500","very_rectangular","sap",0.0233,0.0235,"jv",0.0079,2.94,2.96
"base","heavy_tailed","random_60","500 x 1500","very_rectangular","sap",0.0232,0.023,"jv",0.0079,2.93,2.91
"base","metric_clustered","random_60","500 x 1500","very_rectangular","sap",0.0243,0.0243,"jv",0.0084,2.9,2.89
"base","dbl_uniform","random_25","500 x 500","sparse","lapmod",0.0102,0.0101,"auction_scaled",0.0042,2.42,2.41
"base","metric_clustered","block_4","500 x 500","sparse","lapmod",0.0059,0.0059,"auction_scaled",0.0027,2.17,2.15
"base","tied","block_4","500 x 5000","sparse","lapmod",0.1906,0.1908,"sap",0.0912,2.09,2.09
"base","metric_uniform","block_4","500 x 500","sparse","lapmod",0.0048,0.0048,"auction_scaled",0.0025,1.96,1.96
"base","tied","block_4","500 x 1500","sparse","lapmod",0.0572,0.0572,"network_simplex",0.03,1.91,1.91
"base","metric_clustered","random_60","500 x 500","default","jv",0.0137,0.0136,"auction_scaled",0.0076,1.79,1.79
"base","int_uniform","random_25","500 x 500","sparse","lapmod",0.0077,0.0077,"auction_scaled",0.0044,1.73,1.73
"base","heavy_tailed","random_25","500 x 500","sparse","lapmod",0.0121,0.0121,"auction_scaled",0.0074,1.64,1.63
"base","dbl_uniform","block_4","500 x 500","sparse","lapmod",0.0042,0.0042,"auction_scaled",0.0026,1.6,1.6
"base","metric_uniform","random_60","500 x 500","default","jv",0.01,0.01,"auction_scaled",0.0066,1.51,1.52
"base","int_uniform","block_4","500 x 500","sparse","lapmod",0.0043,0.0043,"auction_scaled",0.0029,1.48,1.48
"large","int_uniform","random_25","1500 x 1500","sparse","lapmod",0.1218,0.1216,"jv",0.0984,1.24,1.24
"large","metric_clustered","random_25","1500 x 1500","sparse","lapmod",0.1811,0.1824,"sap",0.1477,1.23,1.23
"large","dbl_uniform","random_25","1500 x 1500","sparse","lapmod",0.1179,0.1179,"jv",0.0973,1.21,1.21
"base","dbl_uniform","random_60","500 x 500","default","jv",0.0089,0.009,"auction_scaled",0.0075,1.19,1.2
"base","int_uniform","random_25","500 x 5000","sparse","lapmod",0.0232,0.0231,"hungarian",0.0195,1.19,1.18
"base","dbl_uniform","random_25","500 x 5000","sparse","lapmod",0.0231,0.0232,"hungarian",0.0196,1.18,1.18
