"sweep","cloud","dim","n_total","caliper","seeds","rounds_min","rounds_med","rounds_max","graph_pct_med","graph_pct_max","distances_x_med","distances_x_max","implicit_s_med","implicit_s_q25","implicit_s_q75","lazy_s_med","speedup_med","heap_mb_med","worst_gap","all_certified","equal_to_dense"
"caliper","gaussian",8,10000,"boundary",5,2,2,2,1.1512,1.1684,0.308,0.792,0.993,0.976,1.078,1.626,1.63,77.9,0,TRUE,TRUE
"caliper","gaussian",8,10000,"mid",5,2,2,2,1.1629,1.1669,0.514,0.658,1.068,0.961,1.098,1.764,1.65,77.9,0,TRUE,TRUE
"caliper","gaussian",8,10000,"none",5,2,2,2,1.1699,1.1699,1.789,1.797,0.942,0.939,0.945,1.733,1.85,77.8,0,TRUE,TRUE
"cloud","clustered",8,10000,"none",5,2,2,2,1.1699,1.1699,0.484,0.563,0.366,0.353,0.372,0.64,1.74,77.8,0,TRUE,TRUE
"cloud","contested",8,10000,"none",5,9,10,10,73.318,73.3546,6.675,6.727,131.008,130.661,131.405,419.045,3.18,77.8,0,TRUE,TRUE
"cloud","gaussian",8,10000,"none",5,2,2,2,1.1699,1.1699,1.789,1.797,0.939,0.938,0.946,1.73,1.84,77.8,0,TRUE,TRUE
"cloud","heavy_tailed",8,10000,"none",5,2,2,2,1.1699,1.1699,1.985,1.988,0.94,0.935,0.941,0.945,1.01,77.8,0,TRUE,TRUE
"cloud","lattice_ties",8,10000,"none",5,2,2,2,1.1699,1.1699,1.785,1.794,1.17,1.169,1.173,1.92,1.64,77.8,0,TRUE,TRUE
"cloud","shell",8,10000,"none",5,4,5,7,1.1827,2.8252,4.965,6.94,2.852,2.72,3.588,14.526,5.03,77.8,0,TRUE,TRUE
"cloud","shifted",8,10000,"none",5,7,7,7,3.086,3.1079,5.918,6.008,5.105,5.062,5.166,53.37,10.38,77.8,0,TRUE,TRUE
"dimension","gaussian",2,10000,"none",5,2,3,4,1.1699,1.1701,0.243,0.281,0.185,0.154,0.194,0.575,3.36,75.4,0,TRUE,TRUE
"dimension","gaussian",4,10000,"none",5,2,2,2,1.1699,1.1699,0.691,0.698,0.391,0.386,0.395,1.405,3.65,76.2,0,TRUE,TRUE
"dimension","gaussian",8,10000,"none",5,2,2,2,1.1699,1.1699,1.789,1.797,0.941,0.939,0.942,1.734,1.85,77.8,0,TRUE,TRUE
"dimension","gaussian",16,10000,"none",5,2,2,2,1.1699,1.1699,2,2,2.587,2.585,2.59,4.878,1.88,80.9,0,TRUE,TRUE
"dimension","gaussian",32,10000,"none",5,2,2,2,1.1699,1.1699,2,2,9.537,9.535,9.538,20.933,2.2,87.3,0,TRUE,TRUE
"size","gaussian",8,2000,"none",3,2,2,2,4.9512,4.9512,1.987,1.989,0.052,0.052,0.052,0.062,1.2,74.1,0,TRUE,TRUE
"size","gaussian",8,5000,"none",3,2,2,2,2.1602,2.1602,1.922,1.93,0.266,0.266,0.267,0.36,1.35,75.5,0,TRUE,TRUE
"size","gaussian",8,10000,"none",3,2,2,2,1.1699,1.1699,1.788,1.797,0.938,0.937,0.94,1.73,1.85,77.9,0,TRUE,TRUE
"size","gaussian",8,20000,"none",3,2,2,2,0.63,0.63,1.608,1.623,3.313,3.307,3.329,7.562,2.26,82.6,0,TRUE,NA
"size","gaussian",8,50000,"none",3,2,3,3,0.288,0.288,1.94,1.948,24.92,21.02,24.95,63.289,2.58,97.6,3.63797880709171e-12,TRUE,NA
