"sweep","cloud","dim","n_total","caliper","caliper_value","seed_index","seed","memory_mode","status","elapsed_s","heap_mb","n_pairs","total_cost","certified_optimal","duality_gap","n_rounds","seed_width","candidate_edges","possible_edges","edges_evaluated","equal_to_dense","cost_gap_vs_dense"
"dimension","gaussian",2,10000,"none",Inf,1,1480640368,"implicit","ok",0.1509,74.4,3333,151.897086383239,TRUE,0,2,78,259974,22221111,4200625,TRUE,0
"dimension","gaussian",2,10000,"none",Inf,1,1480640368,"lazy","ok",0.5076,74.2,3333,151.897086383239,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dimension","gaussian",2,10000,"none",Inf,1,1480640368,"dense","ok",0.8372,698.8,3333,151.897086383239,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dimension","gaussian",2,10000,"none",Inf,2,1480640369,"implicit","ok",0.1943,75.4,3333,148.554028351798,TRUE,0,3,78,259978,22221111,5666190,TRUE,0
"dimension","gaussian",2,10000,"none",Inf,2,1480640369,"lazy","ok",0.6789,75.3,3333,148.554028351798,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dimension","gaussian",2,10000,"none",Inf,2,1480640369,"dense","ok",0.8964,719.1,3333,148.554028351798,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dimension","gaussian",2,10000,"none",Inf,3,1480640370,"implicit","ok",0.185,75.4,3333,151.576599891279,TRUE,0,3,78,259975,22221111,5399598,TRUE,0
"dimension","gaussian",2,10000,"none",Inf,3,1480640370,"lazy","ok",0.5747,75.3,3333,151.576599891279,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dimension","gaussian",2,10000,"none",Inf,3,1480640370,"dense","ok",0.8724,615.4,3333,151.576599891279,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dimension","gaussian",2,10000,"none",Inf,4,1480640371,"implicit","ok",0.1541,75.4,3333,147.876387640695,TRUE,0,2,78,259974,22221111,4372705,TRUE,0
"dimension","gaussian",2,10000,"none",Inf,4,1480640371,"lazy","ok",0.5712,75.3,3333,147.876387640695,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dimension","gaussian",2,10000,"none",Inf,4,1480640371,"dense","ok",0.8437,719.1,3333,147.876387640695,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dimension","gaussian",2,10000,"none",Inf,5,1480640372,"implicit","ok",0.2079,75.4,3333,158.498719263578,TRUE,0,4,78,260000,22221111,6241123,TRUE,0
"dimension","gaussian",2,10000,"none",Inf,5,1480640372,"lazy","ok",0.6585,75.3,3333,158.498719263578,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dimension","gaussian",2,10000,"none",Inf,5,1480640372,"dense","ok",0.8722,719.1,3333,158.498719263578,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dimension","gaussian",4,10000,"none",Inf,1,1042002983,"implicit","ok",0.3855,76.2,3333,1161.37786355045,TRUE,0,2,78,259974,22221111,14939384,TRUE,0
"dimension","gaussian",4,10000,"none",Inf,1,1042002983,"lazy","ok",1.5185,76.1,3333,1161.37786355045,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dimension","gaussian",4,10000,"none",Inf,1,1042002983,"dense","ok",1.1188,710.7,3333,1161.37786355045,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dimension","gaussian",4,10000,"none",Inf,2,1042002984,"implicit","ok",0.3954,76.2,3333,1152.57819915206,TRUE,0,2,78,259974,22221111,15500854,TRUE,0
"dimension","gaussian",4,10000,"none",Inf,2,1042002984,"lazy","ok",1.3299,76.1,3333,1152.57819915206,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dimension","gaussian",4,10000,"none",Inf,2,1042002984,"dense","ok",1.1019,606.6,3333,1152.57819915206,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dimension","gaussian",4,10000,"none",Inf,3,1042002985,"implicit","ok",0.3957,76.2,3333,1147.01155828644,TRUE,0,2,78,259974,22221111,15434228,TRUE,0
"dimension","gaussian",4,10000,"none",Inf,3,1042002985,"lazy","ok",1.4905,76.1,3333,1147.01155828644,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dimension","gaussian",4,10000,"none",Inf,3,1042002985,"dense","ok",1.1161,606.7,3333,1147.01155828644,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dimension","gaussian",4,10000,"none",Inf,4,1042002986,"implicit","ok",0.3851,76.2,3333,1148.38668147133,TRUE,0,2,78,259974,22221111,14990393,TRUE,0
"dimension","gaussian",4,10000,"none",Inf,4,1042002986,"lazy","ok",1.4054,76.1,3333,1148.38668147133,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dimension","gaussian",4,10000,"none",Inf,4,1042002986,"dense","ok",1.1021,710.7,3333,1148.38668147133,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dimension","gaussian",4,10000,"none",Inf,5,1042002987,"implicit","ok",0.3913,76.2,3333,1153.83139596868,TRUE,0,2,78,259974,22221111,15358238,TRUE,0
"dimension","gaussian",4,10000,"none",Inf,5,1042002987,"lazy","ok",1.2687,76.1,3333,1153.83139596868,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dimension","gaussian",4,10000,"none",Inf,5,1042002987,"dense","ok",1.0811,606.7,3333,1153.83139596868,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dimension","gaussian",8,10000,"none",Inf,1,164728213,"implicit","ok",0.9442,77.8,3333,4024.6108516031,TRUE,0,2,78,259974,22221111,39920370,TRUE,0
"dimension","gaussian",8,10000,"none",Inf,1,164728213,"lazy","ok",1.6425,77.6,3333,4024.6108516031,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dimension","gaussian",8,10000,"none",Inf,1,164728213,"dense","ok",1.5599,705.2,3333,4024.6108516031,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dimension","gaussian",8,10000,"none",Inf,2,164728214,"implicit","ok",0.9377,77.8,3333,4032.15562547006,TRUE,0,2,78,259974,22221111,39504475,TRUE,0
"dimension","gaussian",8,10000,"none",Inf,2,164728214,"lazy","ok",1.7339,77.6,3333,4032.15562547006,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dimension","gaussian",8,10000,"none",Inf,2,164728214,"dense","ok",1.5835,705.2,3333,4032.15562547006,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dimension","gaussian",8,10000,"none",Inf,3,164728215,"implicit","ok",0.9417,77.8,3333,4048.90421495389,TRUE,0,2,78,259974,22221111,39729304,TRUE,0
"dimension","gaussian",8,10000,"none",Inf,3,164728215,"lazy","ok",1.7475,77.6,3333,4048.90421495389,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dimension","gaussian",8,10000,"none",Inf,3,164728215,"dense","ok",1.5903,600.7,3333,4048.90421495389,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dimension","gaussian",8,10000,"none",Inf,4,164728216,"implicit","ok",0.9394,77.8,3333,4054.5196080073,TRUE,0,2,78,259974,22221111,39848069,TRUE,0
"dimension","gaussian",8,10000,"none",Inf,4,164728216,"lazy","ok",1.818,77.6,3333,4054.5196080073,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dimension","gaussian",8,10000,"none",Inf,4,164728216,"dense","ok",1.6158,600.7,3333,4054.5196080073,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dimension","gaussian",8,10000,"none",Inf,5,164728217,"implicit","ok",0.941,77.8,3333,4010.27066877695,TRUE,0,2,78,259974,22221111,39759869,TRUE,4.54747350886464e-13
"dimension","gaussian",8,10000,"none",Inf,5,164728217,"lazy","ok",1.5026,77.6,3333,4010.27066877695,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dimension","gaussian",8,10000,"none",Inf,5,164728217,"dense","ok",1.5735,705.2,3333,4010.27066877695,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dimension","gaussian",16,10000,"none",Inf,1,1977946966,"implicit","ok",2.5902,80.9,3333,9251.70251118361,TRUE,0,2,78,259974,22221111,44442209,TRUE,0
"dimension","gaussian",16,10000,"none",Inf,1,1977946966,"lazy","ok",4.8778,80.8,3333,9251.70251118361,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dimension","gaussian",16,10000,"none",Inf,1,1977946966,"dense","ok",2.4992,702.8,3333,9251.70251118361,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dimension","gaussian",16,10000,"none",Inf,2,1977946967,"implicit","ok",2.5852,80.9,3333,9252.93896644476,TRUE,0,2,78,259974,22221111,44442222,TRUE,0
"dimension","gaussian",16,10000,"none",Inf,2,1977946967,"lazy","ok",4.8037,80.8,3333,9252.93896644476,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dimension","gaussian",16,10000,"none",Inf,2,1977946967,"dense","ok",2.528,702.8,3333,9252.93896644476,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dimension","gaussian",16,10000,"none",Inf,3,1977946968,"implicit","ok",2.584,80.9,3333,9240.52551300391,TRUE,0,2,78,259974,22221111,44442222,TRUE,1.81898940354586e-12
"dimension","gaussian",16,10000,"none",Inf,3,1977946968,"lazy","ok",4.515,80.8,3333,9240.52551300391,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dimension","gaussian",16,10000,"none",Inf,3,1977946968,"dense","ok",2.5125,702.8,3333,9240.52551300392,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dimension","gaussian",16,10000,"none",Inf,4,1977946969,"implicit","ok",2.587,80.9,3333,9278.40146663,TRUE,0,2,78,259974,22221111,44442209,TRUE,0
"dimension","gaussian",16,10000,"none",Inf,4,1977946969,"lazy","ok",5.0395,80.8,3333,9278.40146663,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dimension","gaussian",16,10000,"none",Inf,4,1977946969,"dense","ok",2.5514,702.8,3333,9278.40146663,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dimension","gaussian",16,10000,"none",Inf,5,1977946970,"implicit","ok",2.5901,80.9,3333,9258.0041084349,TRUE,0,2,78,259974,22221111,44442222,TRUE,0
"dimension","gaussian",16,10000,"none",Inf,5,1977946970,"lazy","ok",5.0442,80.8,3333,9258.0041084349,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dimension","gaussian",16,10000,"none",Inf,5,1977946970,"dense","ok",2.5265,702.8,3333,9258.0041084349,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dimension","gaussian",32,10000,"none",Inf,1,1265089913,"implicit","ok",9.537,87.3,3333,17165.3249887627,TRUE,0,2,78,259974,22221111,44442222,TRUE,0
"dimension","gaussian",32,10000,"none",Inf,1,1265089913,"lazy","ok",21.9749,87.1,3333,17165.3249887627,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dimension","gaussian",32,10000,"none",Inf,1,1265089913,"dense","ok",4.8036,703.2,3333,17165.3249887627,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dimension","gaussian",32,10000,"none",Inf,2,1265089914,"implicit","ok",9.5377,87.3,3333,17194.001724527,TRUE,0,2,78,259974,22221111,44442222,TRUE,0
"dimension","gaussian",32,10000,"none",Inf,2,1265089914,"lazy","ok",20.1027,87.1,3333,17194.001724527,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dimension","gaussian",32,10000,"none",Inf,2,1265089914,"dense","ok",4.7848,703.2,3333,17194.001724527,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dimension","gaussian",32,10000,"none",Inf,3,1265089915,"implicit","ok",9.5391,87.3,3333,17121.6639474204,TRUE,0,2,78,259974,22221111,44442222,TRUE,3.63797880709171e-12
"dimension","gaussian",32,10000,"none",Inf,3,1265089915,"lazy","ok",21.1505,87.1,3333,17121.6639474204,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dimension","gaussian",32,10000,"none",Inf,3,1265089915,"dense","ok",4.7743,703.2,3333,17121.6639474204,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dimension","gaussian",32,10000,"none",Inf,4,1265089916,"implicit","ok",9.5343,87.3,3333,17145.6239583029,TRUE,0,2,78,259974,22221111,44442222,TRUE,0
"dimension","gaussian",32,10000,"none",Inf,4,1265089916,"lazy","ok",20.9334,87.1,3333,17145.6239583029,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dimension","gaussian",32,10000,"none",Inf,4,1265089916,"dense","ok",4.7803,595.4,3333,17145.6239583029,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dimension","gaussian",32,10000,"none",Inf,5,1265089917,"implicit","ok",9.5346,87.3,3333,17173.8349808643,TRUE,0,2,78,259974,22221111,44442222,TRUE,0
"dimension","gaussian",32,10000,"none",Inf,5,1265089917,"lazy","ok",19.3574,87.1,3333,17173.8349808643,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dimension","gaussian",32,10000,"none",Inf,5,1265089917,"dense","ok",4.7642,703.2,3333,17173.8349808643,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cloud","gaussian",8,10000,"none",Inf,1,164728213,"implicit","ok",0.9393,77.8,3333,4024.6108516031,TRUE,0,2,78,259974,22221111,39920370,TRUE,0
"cloud","gaussian",8,10000,"none",Inf,1,164728213,"lazy","ok",1.6421,77.6,3333,4024.6108516031,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cloud","gaussian",8,10000,"none",Inf,1,164728213,"dense","ok",1.4758,705.3,3333,4024.6108516031,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cloud","gaussian",8,10000,"none",Inf,2,164728214,"implicit","ok",0.938,77.8,3333,4032.15562547006,TRUE,0,2,78,259974,22221111,39504475,TRUE,0
"cloud","gaussian",8,10000,"none",Inf,2,164728214,"lazy","ok",1.7298,77.6,3333,4032.15562547006,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cloud","gaussian",8,10000,"none",Inf,2,164728214,"dense","ok",1.4627,705.3,3333,4032.15562547006,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cloud","gaussian",8,10000,"none",Inf,3,164728215,"implicit","ok",0.9457,77.8,3333,4048.90421495389,TRUE,0,2,78,259974,22221111,39729304,TRUE,0
"cloud","gaussian",8,10000,"none",Inf,3,164728215,"lazy","ok",1.7473,77.6,3333,4048.90421495389,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cloud","gaussian",8,10000,"none",Inf,3,164728215,"dense","ok",1.4633,705.3,3333,4048.90421495389,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cloud","gaussian",8,10000,"none",Inf,4,164728216,"implicit","ok",0.9493,77.8,3333,4054.5196080073,TRUE,0,2,78,259974,22221111,39848069,TRUE,0
"cloud","gaussian",8,10000,"none",Inf,4,164728216,"lazy","ok",1.8167,77.6,3333,4054.5196080073,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cloud","gaussian",8,10000,"none",Inf,4,164728216,"dense","ok",1.4851,705.3,3333,4054.5196080073,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cloud","gaussian",8,10000,"none",Inf,5,164728217,"implicit","ok",0.9384,77.8,3333,4010.27066877695,TRUE,0,2,78,259974,22221111,39759869,TRUE,4.54747350886464e-13
"cloud","gaussian",8,10000,"none",Inf,5,164728217,"lazy","ok",1.5026,77.6,3333,4010.27066877695,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cloud","gaussian",8,10000,"none",Inf,5,164728217,"dense","ok",1.4341,600.7,3333,4010.27066877695,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cloud","clustered",8,10000,"none",Inf,1,38915715,"implicit","ok",0.3463,77.8,3333,1287.39240169925,TRUE,0,2,78,259974,22221111,10203854,TRUE,2.27373675443232e-13
"cloud","clustered",8,10000,"none",Inf,1,38915715,"lazy","ok",0.6861,77.6,3333,1287.39240169925,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cloud","clustered",8,10000,"none",Inf,1,38915715,"dense","ok",1.3445,600.7,3333,1287.39240169925,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cloud","clustered",8,10000,"none",Inf,2,38915716,"implicit","ok",0.3663,77.8,3333,1576.99174083939,TRUE,0,2,78,259974,22221111,10764229,TRUE,2.27373675443232e-13
