"n_total","memory_mode","elapsed_s","status","total_cost","n_pairs","certified_optimal","duality_gap","candidate_edges","possible_edges","edges_evaluated","n_rounds"
500,"dense",0.021,"ok",244.439100788808,167,NA,NA,NA,NA,NA,NA
500,"lazy",0.008,"ok",244.439100788808,167,NA,NA,NA,NA,NA,NA
500,"implicit",0.011,"ok",244.439100788808,167,TRUE,0,9018,55611,111222,2
500,"dense_csflow",0.021,"ok",244.439100788808,167,NA,NA,NA,NA,NA,NA
2000,"dense",0.161,"ok",791.225096837908,667,NA,NA,NA,NA,NA,NA
2000,"lazy",0.053,"ok",791.225096837908,667,NA,NA,NA,NA,NA,NA
2000,"implicit",0.059,"ok",791.225096837908,667,TRUE,0,44022,889111,1774332,2
2000,"dense_csflow",0.198,"ok",791.225096837908,667,NA,NA,NA,NA,NA,NA
5000,"dense",0.901,"ok",1714.64003806365,1667,NA,NA,NA,NA,NA,NA
5000,"lazy",0.35,"ok",1714.64003806365,1667,NA,NA,NA,NA,NA,NA
5000,"implicit",0.31,"ok",1714.64003806365,1667,TRUE,0,120024,5556111,10890148,2
5000,"dense_csflow",1.163,"ok",1714.64003806365,1667,NA,NA,NA,NA,NA,NA
10000,"dense",3.175,"ok",3094.46350924015,3333,NA,NA,NA,NA,NA,NA
10000,"lazy",1.587,"ok",3094.46350924015,3333,NA,NA,NA,NA,NA,NA
10000,"implicit",1.151,"ok",3094.46350924015,3333,TRUE,0,259974,22221111,41731253,2
10000,"dense_csflow",4.15,"ok",3094.46350924015,3333,NA,NA,NA,NA,NA,NA
20000,"lazy",6.377,"ok",5515.91608475409,6667,NA,NA,NA,NA,NA,NA
20000,"implicit",4.097,"ok",5515.91608475409,6667,TRUE,0,560028,88891111,151801223,2
50000,"lazy",61.885,"ok",11931.3413188897,16667,NA,NA,NA,NA,NA,NA
50000,"implicit",21.277,"ok",11931.3413188897,16667,TRUE,0,1600032,555561111,788486533,2
