"arm","n_total","elapsed_s","heap_peak_mb","n_pairs","status","peak_rss_mb","wall_s","matrix_mb","estimate_mb","baseline_arm","baseline_mb","over_baseline_mb"
"MatchIt",2000,2.345,311.3,667,"ok",531.1,3.36,7.1,28.5,"baseline_alt",152.7,378.4
"baseline",2000,0.008,80.2,0,"ok",145.6,1,7.1,28.5,NA,NA,NA
"baseline_alt",2000,0.008,86.8,0,"ok",152.7,1.04,7.1,28.5,NA,NA,NA
"dense",2000,0.167,153.1,667,"ok",265.8,1.23,7.1,28.5,"baseline",145.6,120.2
"dense_matrix",2000,0.069,136.9,0,"ok",203.3,1.16,7.1,28.5,"baseline",145.6,57.7
"implicit",2000,0.07,102.1,667,"ok",157.1,1.24,7.1,28.5,"baseline",145.6,11.5
"lazy",2000,0.068,101.8,667,"ok",151.4,1.13,7.1,28.5,"baseline",145.6,5.8
"optmatch",2000,1.854,318,667,"ok",483.3,3.02,7.1,28.5,"baseline_alt",152.7,330.6
"MatchIt",5000,16.581,1474.3,1667,"ok",2435.5,17.48,44.4,177.8,"baseline_alt",152.7,2282.8
"baseline",5000,0.007,80.2,0,"ok",145.7,1.12,44.4,177.8,NA,NA,NA
"baseline_alt",5000,0.008,86.8,0,"ok",152.7,0.97,44.4,177.8,NA,NA,NA
"dense",5000,0.887,408.9,1667,"ok",562.9,1.98,44.4,177.8,"baseline",145.7,417.2
"dense_matrix",5000,0.339,161.2,0,"ok",226.5,1.32,44.4,177.8,"baseline",145.7,80.8
"implicit",5000,0.315,104.4,1667,"ok",175.1,1.09,44.4,177.8,"baseline",145.7,29.4
"lazy",5000,0.365,104.2,1667,"ok",154.1,1.41,44.4,177.8,"baseline",145.7,8.4
"optmatch",5000,13.258,1319.5,1667,"ok",2059,14.19,44.4,177.8,"baseline_alt",152.7,1906.3
"MatchIt",10000,74.023,6382.1,3333,"ok",8861.8,75.74,177.8,711.1,"baseline_alt",152.7,8709.1
"baseline",10000,0.007,80.2,0,"ok",148.6,1.06,177.8,711.1,NA,NA,NA
"baseline_alt",10000,0.008,86.8,0,"ok",152.7,1.34,177.8,711.1,NA,NA,NA
"dense",10000,3.132,811.6,3333,"ok",1429,4.17,177.8,711.1,"baseline",148.6,1280.4
"dense_matrix",10000,1.206,373.8,0,"ok",442.5,2.12,177.8,711.1,"baseline",148.6,293.9
"implicit",10000,1.113,108.4,3333,"ok",206.9,2.16,177.8,711.1,"baseline",148.6,58.3
"lazy",10000,1.607,108.1,3333,"ok",159.1,2.67,177.8,711.1,"baseline",148.6,10.5
"optmatch",10000,60.144,4545,3333,"ok",7344.2,61.27,177.8,711.1,"baseline_alt",152.7,7191.5
"MatchIt",20000,112.959,7120.6,NA,"error: (from optmatch) result would exceed 2^31-1 bytes",8793.4,115.77,711.1,2844.5,"baseline_alt",152.9,8640.5
"baseline",20000,0.007,80.2,0,"ok",145.9,1.37,711.1,2844.5,NA,NA,NA
"baseline_alt",20000,0.007,86.8,0,"ok",152.9,1.23,711.1,2844.5,NA,NA,NA
"dense",20000,10.603,3656.5,6667,"ok",6230.8,11.78,711.1,2844.5,"baseline",145.9,6084.9
"dense_matrix",20000,4.275,1145.4,0,"ok",1589.1,5.3,711.1,2844.5,"baseline",145.9,1443.2
"implicit",20000,3.928,116.3,6667,"ok",273.1,5.06,711.1,2844.5,"baseline",145.9,127.2
"lazy",20000,6.417,115.9,6667,"ok",166.1,7.45,711.1,2844.5,"baseline",145.9,20.2
"optmatch",20000,277.999,19331.2,6667,"ok",27569.8,279.1,711.1,2844.5,"baseline_alt",152.9,27416.9
