"n_total","shape","point","max_distance","status","cold_status","n_matched","cold_n_matched","warm_s","cold_s","warm_rounds","cold_rounds","warm_evaluated","cold_evaluated","pairs_added","candidate_edges","total_distance","cold_total_distance"
500,"167 x 333",1,3.12212322910447,"optimal","optimal",167,167,0.003881541,0.003958208,2,2,23384,23384,7259,7259,244.93545552121,244.93545552121
500,"167 x 333",2,3.16226335683163,"optimal","optimal",167,167,0.001419334,0.003900292,1,2,12385,24770,0,7259,244.93545552121,244.93545552121
500,"167 x 333",3,3.20240348455879,"optimal","optimal",167,167,0.002666625,0.003946875,2,2,18869,26128,1,7260,244.439100788808,244.439100788808
500,"167 x 333",4,3.24254361228595,"optimal","optimal",167,167,0.001379459,0.004056666,1,2,13825,27650,0,7260,244.439100788808,244.439100788808
500,"167 x 333",5,3.28268374001311,"optimal","optimal",167,167,0.001378167,0.004087791,1,2,14520,29040,0,7260,244.439100788808,244.439100788808
500,"167 x 333",6,3.32282386774027,"optimal","optimal",167,167,0.001392292,0.004147459,1,2,15283,30566,0,7260,244.439100788808,244.439100788808
500,"167 x 333",7,3.36296399546742,"optimal","optimal",167,167,0.001404792,0.004184416,1,2,16068,32136,0,7260,244.439100788808,244.439100788808
500,"167 x 333",8,3.40310412319458,"optimal","optimal",167,167,0.001435542,0.00433725,1,2,16886,33772,0,7260,244.439100788808,244.439100788808
500,"167 x 333",9,3.44324425092174,"optimal","optimal",167,167,0.0014355,0.004329625,1,2,17773,35546,0,7260,244.439100788808,244.439100788808
500,"167 x 333",10,3.4833843786489,"optimal","optimal",167,167,0.001449417,0.004398834,1,2,18593,37186,0,7260,244.439100788808,244.439100788808
500,"167 x 333",11,3.52352450637606,"optimal","optimal",167,167,0.00145675,0.00442875,1,2,19493,38986,0,7260,244.439100788808,244.439100788808
500,"167 x 333",12,3.56366463410322,"optimal","optimal",167,167,0.001474667,0.004519625,1,2,20334,40668,0,7260,244.439100788808,244.439100788808
500,"167 x 333",13,3.60380476183038,"optimal","optimal",167,167,0.001465334,0.004603166,1,2,21208,42416,0,7260,244.439100788808,244.439100788808
500,"167 x 333",14,3.64394488955754,"optimal","optimal",167,167,0.001469,0.004643167,1,2,22126,44252,0,7260,244.439100788808,244.439100788808
500,"167 x 333",15,3.68408501728469,"optimal","optimal",167,167,0.001496417,0.00460325,1,2,23029,46058,0,7260,244.439100788808,244.439100788808
500,"167 x 333",16,3.72422514501185,"optimal","optimal",167,167,0.001510417,0.004659,1,2,24053,48106,0,7260,244.439100788808,244.439100788808
500,"167 x 333",17,3.76436527273901,"optimal","optimal",167,167,0.001507667,0.0048155,1,2,24939,49878,0,7260,244.439100788808,244.439100788808
500,"167 x 333",18,3.80450540046617,"optimal","optimal",167,167,0.001508209,0.004742208,1,2,25871,51742,0,7260,244.439100788808,244.439100788808
500,"167 x 333",19,3.84464552819333,"optimal","optimal",167,167,0.00154975,0.004795791,1,2,26833,53666,0,7260,244.439100788808,244.439100788808
500,"167 x 333",20,3.88478565592049,"optimal","optimal",167,167,0.001547833,0.004825125,1,2,27806,55612,0,7260,244.439100788808,244.439100788808
