"tier","regime","pattern","n_rows","n_cols","cost_type","distribution","metric","components","finite_share","auto_method","auto_rule","auto_condition"
"base","int_uniform","none",500,500,"integer","uniform",FALSE,1,1,"jv","default","no earlier rule applies"
"base","int_uniform","random_60",500,500,"integer","uniform",FALSE,1,0.5999,"jv","default","no earlier rule applies"
"base","int_uniform","random_25",500,500,"integer","uniform",FALSE,1,0.2508,"jv","default","no earlier rule applies"
"base","int_uniform","random_05",500,500,"integer","uniform",FALSE,1,0.0522,"jv","default","no earlier rule applies"
"base","int_uniform","random_01",500,500,"integer","uniform",FALSE,1,0.0118,"jv","default","no earlier rule applies"
"base","int_uniform","block_4",500,500,"integer","uniform",FALSE,4,0.25,"jv","default","no earlier rule applies"
"base","dbl_uniform","none",500,500,"double","uniform",FALSE,1,1,"jv","default","no earlier rule applies"
"base","dbl_uniform","random_60",500,500,"double","uniform",FALSE,1,0.599,"jv","default","no earlier rule applies"
"base","dbl_uniform","random_25",500,500,"double","uniform",FALSE,1,0.2509,"jv","default","no earlier rule applies"
"base","dbl_uniform","random_05",500,500,"double","uniform",FALSE,1,0.0527,"jv","default","no earlier rule applies"
"base","dbl_uniform","random_01",500,500,"double","uniform",FALSE,1,0.0121,"jv","default","no earlier rule applies"
"base","dbl_uniform","block_4",500,500,"double","uniform",FALSE,4,0.25,"jv","default","no earlier rule applies"
"base","binary","none",500,500,"binary","binary",FALSE,1,1,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","binary","random_60",500,500,"binary","binary",FALSE,1,0.6009,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","binary","random_25",500,500,"binary","binary",FALSE,1,0.2512,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","binary","random_05",500,500,"binary","binary",FALSE,1,0.0519,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","binary","random_01",500,500,"binary","binary",FALSE,1,0.0119,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","binary","block_4",500,500,"binary","binary",FALSE,4,0.25,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","constant","none",500,500,"constant","degenerate",FALSE,1,1,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","constant","random_60",500,500,"constant","degenerate",FALSE,1,0.602,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","constant","random_25",500,500,"constant","degenerate",FALSE,1,0.2522,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","constant","random_05",500,500,"constant","degenerate",FALSE,1,0.0521,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","constant","random_01",500,500,"constant","degenerate",FALSE,1,0.0119,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","constant","block_4",500,500,"constant","degenerate",FALSE,4,0.25,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","tied","none",500,500,"integer","tied",FALSE,1,1,"jv","default","no earlier rule applies"
"base","tied","random_60",500,500,"integer","tied",FALSE,1,0.6,"jv","default","no earlier rule applies"
"base","tied","random_25",500,500,"integer","tied",FALSE,1,0.2517,"jv","default","no earlier rule applies"
"base","tied","random_05",500,500,"integer","tied",FALSE,1,0.0519,"jv","default","no earlier rule applies"
