"tier","regime","pattern","n_rows","n_cols","method","auto_method","auto_rule","instances","median_s","q25_s","q75_s"
"base","binary","block_4",500,1500,"auction_scaled","hk01","no_cost_scale",3,0.159987,0.15760425,0.1629757
"base","binary","block_4",500,500,"auction_scaled","hk01","no_cost_scale",3,0.00492369,0.004775188,0.004947265
"base","binary","block_4",500,5000,"auction_scaled","hk01","no_cost_scale",3,2.08233,2.0806225,2.15734
"base","binary","none",500,1500,"auction_scaled","hk01","no_cost_scale",3,0.12923,0.1280735,0.1293248
"base","binary","none",500,500,"auction_scaled","hk01","no_cost_scale",3,0.01448796,0.014420065,0.014532735
"base","binary","none",500,5000,"auction_scaled","hk01","no_cost_scale",3,1.68815,1.6872465,1.7391885
"base","binary","random_01",500,1500,"auction_scaled","hk01","no_cost_scale",3,0.1960768,0.1933102,0.1994551
"base","binary","random_01",500,500,"auction_scaled","hk01","no_cost_scale",3,0.002362051,0.0023100425,0.0024498525
"base","binary","random_01",500,5000,"auction_scaled","hk01","no_cost_scale",3,2.482002,2.481029,2.5026965
"base","binary","random_05",500,1500,"auction_scaled","hk01","no_cost_scale",3,0.1285538,0.12526475,0.13374855
"base","binary","random_05",500,500,"auction_scaled","hk01","no_cost_scale",3,0.002695545,0.0026571895,0.0030220485
"base","binary","random_05",500,5000,"auction_scaled","hk01","no_cost_scale",3,1.831307,1.8225635,1.8914235
"base","binary","random_25",500,1500,"auction_scaled","hk01","no_cost_scale",3,0.1093157,0.10624025,0.11483085
"base","binary","random_25",500,500,"auction_scaled","hk01","no_cost_scale",3,0.006109533,0.006103711,0.0063289035
"base","binary","random_25",500,5000,"auction_scaled","hk01","no_cost_scale",3,1.670454,1.6343545,1.691422
"base","binary","random_60",500,1500,"auction_scaled","hk01","no_cost_scale",3,0.1268319,0.12425095,0.13716975
"base","binary","random_60",500,500,"auction_scaled","hk01","no_cost_scale",3,0.01126836,0.01126639,0.01131922
"base","binary","random_60",500,5000,"auction_scaled","hk01","no_cost_scale",3,1.649122,1.5944295,1.66106
"base","constant","block_4",500,1500,"auction_scaled","hk01","no_cost_scale",3,0.1498096,0.14966375,0.1503544
"base","constant","block_4",500,500,"auction_scaled","hk01","no_cost_scale",3,0.003435677,0.0034325815,0.0034630445
"base","constant","block_4",500,5000,"auction_scaled","hk01","no_cost_scale",3,2.465453,2.4642945,2.4668265
"base","constant","none",500,1500,"auction_scaled","hk01","no_cost_scale",3,0.1848654,0.18485785,0.1854064
