"tier","regime","pattern","shape","auto_rule","auto_picks","auto_s","picked_s","best_method","best_s","ratio","picked_ratio"
"base","tied","random_25","500 x 500","default","jv",0.0621,0.0627,"auction_scaled",0.006,10.41,10.51
"base","tied","random_05","500 x 500","default","jv",0.0403,0.041,"auction_scaled",0.0044,9.07,9.23
"base","tied","none","500 x 1500","default","jv",0.1996,0.1997,"network_simplex",0.0225,8.87,8.88
"base","tied","none","500 x 500","default","jv",0.0573,0.0573,"network_simplex",0.0066,8.64,8.63
"base","tied","random_60","500 x 500","default","jv",0.0634,0.063,"network_simplex",0.0085,7.49,7.44
"base","tied","random_60","500 x 1500","default","jv",0.2061,0.2046,"network_simplex",0.0383,5.39,5.35
"base","tied","random_25","500 x 1500","default","jv",0.1981,0.1984,"network_simplex",0.0376,5.26,5.27
"base","tied","none","500 x 5000","default","jv",0.6819,0.6807,"network_simplex",0.133,5.13,5.12
"base","tied","block_4","500 x 500","default","jv",0.0175,0.0181,"auction_scaled",0.0041,4.31,4.47
"base","metric_clustered","random_01","500 x 500","default","jv",0.0066,0.0063,"auction_scaled",0.0017,3.9,3.72
"base","int_uniform","random_01","500 x 500","default","jv",0.0065,0.0064,"auction_scaled",0.0018,3.56,3.5
"base","tied","random_60","500 x 5000","default","jv",0.6973,0.6968,"network_simplex",0.1973,3.53,3.53
"base","tied","random_05","500 x 5000","default","jv",0.3817,0.3806,"csflow",0.112,3.41,3.4
"base","metric_uniform","random_05","500 x 500","default","jv",0.0089,0.0076,"csa",0.0027,3.34,2.85
"base","int_uniform","random_05","500 x 500","default","jv",0.008,0.0072,"csa",0.0024,3.25,2.96
"base","dbl_uniform","random_01","500 x 500","default","jv",0.0063,0.0063,"csa",0.002,3.15,3.14
"base","dbl_uniform","random_05","500 x 500","default","jv",0.0073,0.0076,"auction_scaled",0.0023,3.1,3.23
"large","heavy_tailed","random_01","1500 x 1500","default","jv",0.1121,0.108,"sap",0.0367,3.06,2.94
"large","metric_clustered","random_01","1500 x 1500","default","jv",0.0954,0.0908,"sap",0.0313,3.05,2.9
"base","metric_clustered","random_05","500 x 500","default","jv",0.0098,0.0089,"auction_scaled",0.0034,2.91,2.64
"base","tied","random_25","500 x 5000","default","jv",0.6886,0.6915,"network_simplex",0.2392,2.88,2.89
"base","heavy_tailed","random_01","500 x 500","default","jv",0.0085,0.0085,"auction_scaled",0.003,2.87,2.87
"base","tied","random_05","500 x 1500","default","jv",0.1134,0.1144,"network_simplex",0.0408,2.78,2.81
"base","heavy_tailed","random_05","500 x 500","default","jv",0.0087,0.0087,"auction_scaled",0.0033,2.64,2.64
"base","metric_clustered","random_25","500 x 500","default","jv",0.0147,0.0146,"auction_scaled",0.0058,2.55,2.54
"base","metric_uniform","random_01","500 x 500","default","jv",0.0063,0.0063,"auction_scaled",0.0027,2.31,2.31
"large","dbl_uniform","random_01","1500 x 1500","default","jv",0.0852,0.087,"sap",0.0381,2.24,2.29
"base","binary","random_05","500 x 1500","no_cost_scale","hk01",0.0087,0.004,"hk01",0.004,2.18,1
"base","metric_uniform","random_25","500 x 500","default","jv",0.0109,0.0117,"auction_scaled",0.0051,2.13,2.27
"base","int_uniform","random_01","500 x 5000","default","jv",0.0257,0.0165,"hungarian",0.0121,2.12,1.36
"base","dbl_uniform","random_05","500 x 5000","default","jv",0.0269,0.0137,"jv",0.0137,1.97,1
"base","metric_uniform","block_4","500 x 5000","default","jv",0.024,0.0122,"jv",0.0122,1.97,1
"base","metric_clustered","random_05","500 x 1500","default","jv",0.0082,0.0042,"jv",0.0042,1.96,1
"base","tied","block_4","500 x 5000","default","jv",0.1794,0.1792,"csflow",0.0916,1.96,1.96
"base","tied","random_01","500 x 500","default","jv",0.0046,0.0051,"csa",0.0024,1.96,2.15
"large","int_uniform","random_01","1500 x 1500","default","jv",0.0858,0.0873,"sap",0.0446,1.92,1.96
"base","binary","block_4","500 x 5000","no_cost_scale","hk01",0.0303,0.0161,"hk01",0.0161,1.88,1
"base","binary","block_4","500 x 1500","no_cost_scale","hk01",0.0089,0.0048,"hk01",0.0048,1.84,1
"base","dbl_uniform","random_25","500 x 500","default","jv",0.0088,0.0094,"auction_scaled",0.005,1.76,1.88
"base","tied","block_4","500 x 1500","default","jv",0.0537,0.0527,"csflow",0.0309,1.74,1.7
"base","binary","random_01","500 x 500","no_cost_scale","hk01",0.0052,0.0055,"auction_scaled",0.0031,1.7,1.77
"base","metric_clustered","none","500 x 5000","default","jv",0.0186,0.0186,"hungarian",0.0111,1.68,1.67
"base","int_uniform","random_25","500 x 500","default","jv",0.0079,0.0079,"auction_scaled",0.0048,1.63,1.62
"base","metric_clustered","random_60","500 x 500","default","jv",0.0137,0.0142,"auction_scaled",0.0084,1.63,1.69
"base","dbl_uniform","block_4","500 x 1500","default","jv",0.0073,0.0073,"lapmod",0.0045,1.62,1.62
"base","heavy_tailed","none","500 x 1500","default","jv",0.0061,0.0038,"hungarian",0.0038,1.61,1.01
"base","metric_clustered","block_4","500 x 500","default","jv",0.0062,0.0062,"auction_scaled",0.0039,1.61,1.6
"base","metric_clustered","none","500 x 1500","default","jv",0.0062,0.0062,"hungarian",0.0039,1.58,1.58
"base","binary","block_4","500 x 500","no_cost_scale","hk01",0.0031,0.002,"hk01",0.002,1.57,1
"base","constant","none","500 x 5000","no_cost_scale","hk01",0.0264,0.0169,"hk01",0.0169,1.56,1
"base","metric_uniform","random_25","500 x 1500","default","jv",0.0098,0.0063,"jv",0.0063,1.56,1
"base","int_uniform","block_4","500 x 1500","default","jv",0.0073,0.0047,"jv",0.0047,1.55,1
"base","dbl_uniform","random_05","500 x 1500","default","jv",0.0081,0.0081,"csflow",0.0053,1.53,1.53
"base","metric_uniform","random_05","500 x 1500","default","jv",0.0081,0.0062,"csflow",0.0053,1.52,1.15
"base","tied","random_01","500 x 1500","default","jv",0.0059,0.0079,"csflow",0.0039,1.51,2.03
"base","int_uniform","random_05","500 x 1500","default","jv",0.008,0.0054,"jv",0.0054,1.5,1
"base","metric_uniform","block_4","500 x 500","default","jv",0.0045,0.0048,"auction_scaled",0.0031,1.47,1.58
"base","metric_uniform","random_60","500 x 500","default","jv",0.0109,0.0106,"auction_scaled",0.0075,1.46,1.42
"base","metric_uniform","random_60","500 x 5000","default","jv",0.0341,0.0247,"jv",0.0247,1.38,1
"base","dbl_uniform","random_60","500 x 1500","default","jv",0.0107,0.008,"jv",0.008,1.34,1
"base","binary","random_25","500 x 1500","no_cost_scale","hk01",0.0121,0.0091,"hk01",0.0091,1.33,1
"base","constant","random_25","500 x 1500","no_cost_scale","hk01",0.0102,0.0077,"hk01",0.0077,1.32,1
"base","metric_clustered","random_25","500 x 1500","default","jv",0.0102,0.0077,"jv",0.0077,1.32,1
"base","metric_clustered","random_05","500 x 5000","default","jv",0.018,0.0137,"jv",0.0137,1.31,1
"base","metric_clustered","random_01","500 x 1500","default","jv",0.005,0.005,"csflow",0.0038,1.3,1.3
"base","constant","random_60","500 x 1500","no_cost_scale","hk01",0.012,0.0093,"hk01",0.0093,1.29,1
"base","tied","random_01","500 x 5000","default","jv",0.0175,0.0266,"csflow",0.0138,1.27,1.93
"base","dbl_uniform","random_60","500 x 500","default","jv",0.0098,0.0098,"auction_scaled",0.0078,1.26,1.26
"base","int_uniform","block_4","500 x 500","default","jv",0.004,0.0044,"csa",0.0032,1.25,1.35
"large","int_uniform","random_01","1500 x 4500","default","jv",0.0715,0.0571,"jv",0.0571,1.25,1
"base","constant","random_60","500 x 500","no_cost_scale","hk01",0.0043,0.0035,"hk01",0.0035,1.24,1
"base","metric_clustered","random_01","500 x 5000","default","jv",0.0167,0.0166,"csflow",0.0134,1.24,1.24
"base","heavy_tailed","random_01","500 x 5000","default","jv",0.0169,0.0187,"csflow",0.0137,1.23,1.37
"base","binary","random_25","500 x 5000","no_cost_scale","hk01",0.037,0.0304,"hk01",0.0304,1.22,1
"base","binary","random_60","500 x 1500","no_cost_scale","hk01",0.0152,0.0125,"hk01",0.0125,1.22,1
"base","heavy_tailed","random_25","500 x 500","default","jv",0.01,0.0112,"auction_scaled",0.0082,1.22,1.36
"base","metric_uniform","random_01","500 x 5000","default","jv",0.0166,0.0159,"csflow",0.0136,1.22,1.17
"base","binary","random_01","500 x 1500","no_cost_scale","hk01",0.0073,0.0073,"csflow",0.006,1.21,1.21
"base","binary","random_60","500 x 5000","no_cost_scale","hk01",0.0529,0.0437,"hk01",0.0437,1.21,1
"base","constant","random_01","500 x 500","no_cost_scale","hk01",0.0018,0.0015,"hk01",0.0015,1.21,1
"base","int_uniform","random_60","500 x 1500","default","jv",0.0107,0.0098,"hungarian",0.0088,1.21,1.11
"large","metric_clustered","random_25","1500 x 4500","default","jv",0.0992,0.0828,"jv",0.0828,1.2,1
"base","dbl_uniform","random_01","500 x 5000","default","jv",0.0165,0.0166,"csflow",0.0138,1.19,1.2
"large","metric_clustered","random_01","1000 x 10000","default","jv",0.0968,0.0823,"jv",0.0823,1.18,1
"base","metric_clustered","random_60","500 x 5000","default","jv",0.0317,0.0271,"jv",0.0271,1.17,1
"base","heavy_tailed","random_25","500 x 1500","default","jv",0.0098,0.0097,"lapmod",0.0084,1.16,1.15
"large","heavy_tailed","random_01","1500 x 4500","default","jv",0.0737,0.0644,"jv",0.0644,1.15,1
"large","dbl_uniform","random_25","1000 x 10000","default","jv",0.1274,0.1115,"jv",0.1115,1.14,1
"base","metric_clustered","random_25","500 x 5000","default","jv",0.0261,0.0237,"jv",0.0237,1.1,1
"base","binary","none","500 x 500","no_cost_scale","hk01",0.0042,0.0038,"hk01",0.0038,1.09,1
"base","metric_uniform","none","500 x 500","default","jv",0.0066,0.0061,"jv",0.0061,1.09,1
"large","dbl_uniform","random_01","1000 x 10000","default","jv",0.1036,0.0949,"jv",0.0949,1.09,1
"base","binary","random_01","500 x 5000","no_cost_scale","hk01",0.0165,0.0152,"hk01",0.0152,1.08,1
"large","metric_clustered","none","1000 x 10000","default","jv",0.0826,0.0766,"jv",0.0766,1.08,1
"base","int_uniform","random_60","500 x 500","default","jv",0.0097,0.0092,"auction_scaled",0.009,1.07,1.02
"large","metric_clustered","random_25","1000 x 10000","default","jv",0.12,0.1126,"jv",0.1126,1.07,1
"base","dbl_uniform","block_4","500 x 500","default","jv",0.004,0.0044,"auction_scaled",0.0038,1.06,1.14
"large","int_uniform","none","1500 x 1500","default","jv",0.0472,0.0446,"jv",0.0446,1.06,1
"large","metric_clustered","random_25","1500 x 1500","default","jv",0.1571,0.1566,"sap",0.1479,1.06,1.06
"base","int_uniform","none","500 x 500","default","jv",0.0049,0.0047,"jv",0.0047,1.05,1
"large","int_uniform","random_25","1500 x 4500","default","jv",0.0835,0.0793,"jv",0.0793,1.05,1
"large","metric_clustered","random_01","1500 x 4500","default","jv",0.0722,0.069,"jv",0.069,1.05,1
