"n_total","package","instance","seed","rep","seconds","status"
500,"couplr",1,20261015,1,0.018,"ok"
500,"couplr",1,20261015,2,0.022,"ok"
500,"couplr",1,20261015,3,0.022,"ok"
500,"optmatch",1,20261015,1,0.116,"ok"
500,"optmatch",1,20261015,2,0.116,"ok"
500,"optmatch",1,20261015,3,0.115,"ok"
500,"MatchIt",1,20261015,1,0.143,"ok"
500,"MatchIt",1,20261015,2,0.135,"ok"
500,"MatchIt",1,20261015,3,0.132,"ok"
500,"couplr",2,21261018,1,0.017,"ok"
500,"couplr",2,21261018,2,0.017,"ok"
500,"couplr",2,21261018,3,0.017,"ok"
500,"optmatch",2,21261018,1,0.114,"ok"
500,"optmatch",2,21261018,2,0.113,"ok"
500,"optmatch",2,21261018,3,0.113,"ok"
500,"MatchIt",2,21261018,1,0.136,"ok"
500,"MatchIt",2,21261018,2,0.133,"ok"
500,"MatchIt",2,21261018,3,0.137,"ok"
500,"couplr",3,22261021,1,0.021,"ok"
500,"couplr",3,22261021,2,0.021,"ok"
500,"couplr",3,22261021,3,0.021,"ok"
500,"optmatch",3,22261021,1,0.125,"ok"
500,"optmatch",3,22261021,2,0.141,"ok"
500,"optmatch",3,22261021,3,0.117,"ok"
500,"MatchIt",3,22261021,1,0.137,"ok"
500,"MatchIt",3,22261021,2,0.138,"ok"
500,"MatchIt",3,22261021,3,0.142,"ok"
500,"couplr",4,23261024,1,0.02,"ok"
500,"couplr",4,23261024,2,0.02,"ok"
500,"couplr",4,23261024,3,0.021,"ok"
500,"optmatch",4,23261024,1,0.121,"ok"
500,"optmatch",4,23261024,2,0.121,"ok"
500,"optmatch",4,23261024,3,0.121,"ok"
500,"MatchIt",4,23261024,1,0.144,"ok"
500,"MatchIt",4,23261024,2,0.145,"ok"
500,"MatchIt",4,23261024,3,0.147,"ok"
500,"couplr",5,24261027,1,0.02,"ok"
500,"couplr",5,24261027,2,0.02,"ok"
500,"couplr",5,24261027,3,0.019,"ok"
500,"optmatch",5,24261027,1,0.115,"ok"
500,"optmatch",5,24261027,2,0.116,"ok"
