"n_total","package","instances","runs","median_s","q25_s","q75_s","min_s","max_s","status"
500,"MatchIt",5,25,0.1154,0.1148,0.116,0.1115,0.1225,"ok"
500,"couplr",5,25,0.0108,0.0108,0.0112,0.0096,0.0114,"ok"
500,"optmatch",5,25,0.0977,0.0962,0.098,0.0938,0.1033,"ok"
2000,"MatchIt",5,25,2.0251,1.9316,2.0751,1.9271,2.0851,"ok"
2000,"couplr",5,25,0.1137,0.1089,0.116,0.1008,0.117,"ok"
2000,"optmatch",5,25,1.6424,1.5557,1.6532,1.4963,1.6836,"ok"
5000,"MatchIt",5,15,14.8313,14.717,15.0711,14.3856,15.4236,"ok"
5000,"couplr",5,15,0.6786,0.6768,0.7241,0.6494,0.7493,"ok"
5000,"optmatch",5,15,12.0041,11.998,12.061,11.7497,12.4831,"ok"
10000,"MatchIt",3,9,71.214,70.2221,71.281,69.2302,71.3481,"ok"
10000,"couplr",3,9,2.9305,2.8478,3.016,2.765,3.1016,"ok"
10000,"optmatch",3,9,58.4976,57.6688,58.5004,56.8401,58.5032,"ok"
20000,"MatchIt",0,0,NA,NA,NA,NA,NA,"error: (from optmatch) result would exceed 2^31-1 bytes"
20000,"couplr",3,3,12.5804,11.6054,12.8011,10.6303,13.0218,"ok"
20000,"optmatch",3,3,289.4947,282.1146,293.0588,274.7345,296.623,"ok"
50000,"MatchIt",0,0,NA,NA,NA,NA,NA,"timeout"
50000,"couplr",3,3,78.8264,78.6792,79.4867,78.5321,80.147,"ok"
50000,"optmatch",0,0,NA,NA,NA,NA,NA,"timeout"
